original,clean
0-4,00-04
00-04,00-04
05-14,05-14
12,05-14
14,05-14
15-34,15-34
17,15-34
18,15-34
19,15-34
19-65,NaN
20,15-34
21,15-34
24,15-34
25,15-34
27-40,NaN
28,15-34
29,15-34
30,15-34
31,15-34
32,15-34
33,15-34
35,35-59
35-59,35-59
36,35-59
38,35-59
40,35-59
41,35-59
42,35-59
43,35-59
44,35-59
45,35-59
46,35-59
47,35-59
48,35-59
49,35-59
5-14,05-14
50,35-59
51,35-59
52,35-59
53,35-59
54,35-59
55,35-59
56,35-59
57,35-59
58,35-59
60,60-79
60-79,60-79
61,60-79
62,60-79
63,60-79
64,60-79
65,60-79
67,60-79
68,60-79
77,60-79
80,80+
80+,80+
85,80+
87,80+
91,80+
